iter	Passed	Remaining
0	0	93
1	1	85
2	2	86
3	3	81
4	4	83
5	5	83
6	6	81
7	6	78
8	7	78
9	8	78
10	9	77
11	10	77
12	11	77
13	12	76
14	13	76
15	14	75
16	15	75
17	16	74
18	17	73
19	18	74
20	19	75
21	21	74
22	21	73
23	22	72
24	23	71
25	24	70
26	25	70
27	26	69
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	91	4
95	92	3
96	94	2
97	95	1
98	96	0
99	97	0
